method,primitive,resilience_level,r,N,backend,backend_source,region,shots,z0_est,z0_exact,abs_err_vs_exact,standard_error,depth,two_q,two_q_depth,within_2q_budget,runtime_sec_total
resilience_0,EstimatorV2,0.0,1,12,ibm_berlin,eu-de_least_busy,eu-de,4096,0.6943359375,0.6845639601747561,0.00977197732524393,0.011244547353693353,64,90,15,True,226.48549029100104
resilience_0,EstimatorV2,0.0,2,20,ibm_berlin,eu-de_least_busy,eu-de,4096,0.7158203125,0.6845440570513495,0.031276255448650536,0.010910695729505798,66,150,15,True,226.48549029100104
resilience_0,EstimatorV2,0.0,3,28,ibm_berlin,eu-de_least_busy,eu-de,4096,0.70947265625,0.6845440570502197,0.0249285991997803,0.011011452556794648,66,210,15,True,226.48549029100104
resilience_0,EstimatorV2,0.0,4,36,ibm_berlin,eu-de_least_busy,eu-de,4096,0.71533203125,0.6845440570502259,0.030787974199774082,0.010918511251814205,66,270,15,True,226.48549029100104
resilience_0,EstimatorV2,0.0,5,44,ibm_berlin,eu-de_least_busy,eu-de,4096,0.712890625,0.6845440570502157,0.028346567949784296,0.010957425564285294,66,330,15,True,226.48549029100104
resilience_0,EstimatorV2,0.0,6,52,ibm_berlin,eu-de_least_busy,eu-de,4096,0.70654296875,0.6845440570502164,0.02199891169978363,0.0110573460066344,66,390,15,True,226.48549029100104
vanilla_sampler,SamplerV2,,1,12,ibm_berlin,eu-de_least_busy,eu-de,4096,0.69970703125,0.6845639601747561,0.01514307107524393,0.011162967060708578,64,90,15,True,226.48549029100104
vanilla_sampler,SamplerV2,,2,20,ibm_berlin,eu-de_least_busy,eu-de,4096,0.67236328125,0.6845440570513495,0.012180775801349464,0.011565958288002252,66,150,15,True,226.48549029100104
vanilla_sampler,SamplerV2,,3,28,ibm_berlin,eu-de_least_busy,eu-de,4096,0.7138671875,0.6845440570502197,0.0293231304497803,0.010941892406091122,66,210,15,True,226.48549029100104
vanilla_sampler,SamplerV2,,4,36,ibm_berlin,eu-de_least_busy,eu-de,4096,0.68994140625,0.6845440570502259,0.005397349199774082,0.01131039405403982,66,270,15,True,226.48549029100104
vanilla_sampler,SamplerV2,,5,44,ibm_berlin,eu-de_least_busy,eu-de,4096,0.6884765625,0.6845440570502157,0.003932505449784296,0.011332165474344938,66,330,15,True,226.48549029100104
vanilla_sampler,SamplerV2,,6,52,ibm_berlin,eu-de_least_busy,eu-de,4096,0.68701171875,0.6845440570502164,0.00246766169978363,0.011353849007288901,66,390,15,True,226.48549029100104
