method,primitive,resilience_level,r,N,backend,backend_source,region,shots,z0_est,z0_exact,abs_err_vs_exact,standard_error,depth,two_q,two_q_depth,within_2q_budget,runtime_sec_total
resilience_0,EstimatorV2,0.0,1,12,ibm_miami,us-east_least_busy,us-east,4096,0.71142578125,0.6845639601747561,0.02686182107524393,0.010980644345278952,62,90,15,True,220.4689086660219
resilience_0,EstimatorV2,0.0,2,20,ibm_miami,us-east_least_busy,us-east,4096,0.66650390625,0.6845440570513495,0.018040150801349464,0.011648461529082057,63,150,15,True,220.4689086660219
resilience_0,EstimatorV2,0.0,3,28,ibm_miami,us-east_least_busy,us-east,4096,0.67578125,0.6845440570502197,0.0087628070502197,0.011517222393326152,66,210,15,True,220.4689086660219
resilience_0,EstimatorV2,0.0,4,36,ibm_miami,us-east_least_busy,us-east,4096,0.70947265625,0.6845440570502259,0.024928599199774082,0.011011452556794648,66,270,15,True,220.4689086660219
resilience_0,EstimatorV2,0.0,5,44,ibm_miami,us-east_least_busy,us-east,4096,0.697265625,0.6845440570502157,0.012721567949784296,0.011200200631588341,66,330,15,True,220.4689086660219
resilience_0,EstimatorV2,0.0,6,52,ibm_miami,us-east_least_busy,us-east,4096,0.712890625,0.6845440570502164,0.02834656794978363,0.010957425564285294,66,390,15,True,220.4689086660219
vanilla_sampler,SamplerV2,,1,12,ibm_miami,us-east_least_busy,us-east,4096,0.68212890625,0.6845639601747561,0.00243505392475607,0.011425499117864777,62,90,15,True,220.4689086660219
vanilla_sampler,SamplerV2,,2,20,ibm_miami,us-east_least_busy,us-east,4096,0.666015625,0.6845440570513495,0.018528432051349464,0.011655277976141862,62,150,15,True,220.4689086660219
vanilla_sampler,SamplerV2,,3,28,ibm_miami,us-east_least_busy,us-east,4096,0.69091796875,0.6845440570502197,0.006373911699780299,0.01129583069665674,66,210,15,True,220.4689086660219
vanilla_sampler,SamplerV2,,4,36,ibm_miami,us-east_least_busy,us-east,4096,0.6875,0.6845440570502259,0.002955942949774082,0.011346630897092041,66,270,15,True,220.4689086660219
vanilla_sampler,SamplerV2,,5,44,ibm_miami,us-east_least_busy,us-east,4096,0.71484375,0.6845440570502157,0.030299692949784296,0.010926315856445344,66,330,15,True,220.4689086660219
vanilla_sampler,SamplerV2,,6,52,ibm_miami,us-east_least_busy,us-east,4096,0.68212890625,0.6845440570502164,0.00241515080021637,0.011425499117864777,66,390,15,True,220.4689086660219
