diagnostic_context,method,mitigation,reps,shots_per_circuit,physical_shots_total,circuits,accepted_shots,acceptance,obs_exact,obs_estimate,abs_err_vs_exact,standard_error,qpu_shots_needed_for_target_se,simulator_runtime_sec,time,seed,noise_label,observable,z1_exact,z0z1_exact,p1,p2,p_ro,noise_scale,z1_estimate,z0z1_estimate,mpf_shots_needed_per_circuit,mpf_coeff_low,mpf_coeff_high,obs_low_reps_raw,obs_high_reps_raw,obs_low_reps_postselected,obs_high_reps_postselected,acceptance_low_reps,acceptance_high_reps,rel_error_improvement_vs_raw_baseline,qpu_ready_candidate,qpu_readiness_reason
noise_threshold,baseline_ST2_k2_raw,none,2,8192,8192,1,8192.0,1.0,0.6845639601747561,0.781982421875,0.09741846170024393,0.006886562470561845,972,0.023097625002264977,1.0,2026,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.99365234375,0.775634765625,,,,,,,,,,0.0,False,baseline/control
noise_threshold,baseline_ST2_k3_raw_control,none_control,3,8192,8192,1,8192.0,1.0,0.6845639601747561,0.72900390625,0.04443994607524393,0.007562833352933819,1172,0.023097625002264977,1.0,2026,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.99365234375,0.72265625,,,,,,,,,,0.5438241858921423,False,baseline/control
noise_threshold,postselection_ST2_k2_weight1,postselection,2,8192,8192,1,8192.0,1.0,0.6845639601747561,0.781982421875,0.09741846170024393,0.006886562470561845,972,0.023097625002264977,1.0,2026,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.99365234375,0.775634765625,,,,,,,,,,0.0,False,relative error improvement 0.000 < 0.100
noise_threshold,MPF23_raw,MPF,"2,3",8192,16384,2,16384.0,1.0,0.6845639601747561,0.68662109375,0.0020571335752439524,0.014685650406896275,8834,0.023097625002264977,1.0,2026,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.99365234375,0.6802734374999999,4417.0,-0.8,1.8,0.781982421875,0.72900390625,,,,,0.9788835346058559,True,ready
noise_threshold,MPF23_postselected,MPF_postselected,"2,3",8192,16384,2,16384.0,1.0,0.6845639601747561,0.68662109375,0.0020571335752439524,0.014685650406896275,8834,0.023097625002264977,1.0,2026,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.99365234375,0.6802734374999999,4417.0,-0.8,1.8,,,0.781982421875,0.72900390625,1.0,1.0,0.9788835346058559,True,ready
noise_threshold,baseline_ST2_k2_raw,none,2,8192,8192,1,8192.0,1.0,0.6845639601747561,0.78759765625,0.10303369607524393,0.006808000340512213,950,0.023921749991131946,1.0,2027,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.99169921875,0.779296875,,,,,,,,,,0.0,False,baseline/control
noise_threshold,baseline_ST2_k3_raw_control,none_control,3,8192,8192,1,8192.0,1.0,0.6845639601747561,0.7294921875,0.04492822732524393,0.007557083775020225,1170,0.023921749991131946,1.0,2027,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.992919921875,0.722412109375,,,,,,,,,,0.5639462715922223,False,baseline/control
noise_threshold,postselection_ST2_k2_weight1,postselection,2,8192,8192,1,8192.0,1.0,0.6845639601747561,0.78759765625,0.10303369607524393,0.006808000340512213,950,0.023921749991131946,1.0,2027,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.99169921875,0.779296875,,,,,,,,,,0.0,False,relative error improvement 0.000 < 0.100
noise_threshold,MPF23_raw,MPF,"2,3",8192,16384,2,16384.0,1.0,0.6845639601747561,0.6830078125000001,0.001556147674755981,0.014652580152286107,8796,0.023921749991131946,1.0,2027,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.993896484375,0.6769042968749999,4398.0,-0.8,1.8,0.78759765625,0.7294921875,,,,,0.9848967111340008,True,ready
noise_threshold,MPF23_postselected,MPF_postselected,"2,3",8192,16384,2,16384.0,1.0,0.6845639601747561,0.6830078125000001,0.001556147674755981,0.014652580152286107,8796,0.023921749991131946,1.0,2027,heron_prior_scale_0,Z0,0.9912671465636668,0.6758311067384228,0.0,0.0,0.0,0.0,0.993896484375,0.6769042968749999,4398.0,-0.8,1.8,,,0.78759765625,0.7294921875,1.0,1.0,0.9848967111340008,True,ready
