method,observable,z1_exact,z0z1_exact,z1_estimate,z0z1_estimate,mitigation,reps,noise_label,shots_per_circuit,physical_shots_total,circuits,accepted_shots,acceptance,obs_exact,obs_estimate,abs_err_vs_exact,reference_target,reference_value,abs_err_vs_reference,fair_baseline_method,fair_baseline_error,standard_error,qpu_shots_needed_for_target_se,simulator_runtime_sec,p1,p2,p_ro,depth,two_q,two_q_depth,mpf_shots_needed_per_circuit,mpf_coeff_low,mpf_coeff_high,obs_low_reps_raw,obs_high_reps_raw,rel_error_improvement_vs_fair_baseline,rel_error_improvement_vs_raw_baseline,qpu_ready_candidate,qpu_readiness_reason
baseline_ST2_k2_raw,Z0,0.9912671465636668,0.6758311067384228,0.93359375,0.6953125,none,2,low,1024,1024,1,1024,1.0,0.6845639601747561,0.7421875,0.05762353982524393,exact_dynamics,0.6845639601747561,0.05762353982524393,self,0.05762353982524393,0.020943509278583176,1123,1.6048660420055967,0.0003,0.001,0.005,31,90,15,,,,,,0.0,0.0,False,baseline/control
baseline_ST2_k3_raw_control,Z0,0.9912671465636668,0.6758311067384228,0.939453125,0.61328125,none_control,3,low,1024,1024,1,1024,1.0,0.6845639601747561,0.638671875,0.04589208517475607,exact_dynamics,0.6845639601747561,0.04589208517475607,self,0.04589208517475607,0.024046224936063582,1481,1.6048660420055967,0.0003,0.001,0.005,43,126,21,,,,,,0.0,0.0,False,baseline/control
postselection_ST2_k2_weight1,Z0,0.9912671465636668,0.6758311067384228,0.9774520856820744,0.7429537767756482,postselection,2,low,1024,1024,1,887,0.8662109375,0.6845639601747561,0.7655016910935738,0.08093773091881773,noiseless_ST2_k2,0.7845829417302326,0.019081250636658775,baseline_ST2_k2_raw_vs_noiseless_ST2_k2,0.042395441730232575,0.021604395376545696,1195,1.6048660420055967,0.0003,0.001,0.005,31,90,15,,,,,,0.5499221176164379,0.5499221176164379,True,ready
MPF23_raw,Z0,0.9912671465636668,0.6758311067384228,0.9441406250000001,0.5476562500000001,MPF,"2,3",low,1024,2048,2,2048,1.0,0.6845639601747561,0.555859375,0.12870458517475603,exact_dynamics,0.6845639601747561,0.12870458517475603,baseline_ST2_k3_raw_control_vs_exact,0.04589208517475607,0.046412922735880636,11030,1.6048660420055967,0.0003,0.001,0.005,43,216,21,5515.0,-0.8,1.8,0.7421875,0.638671875,-1.8045050619219358,-1.8045050619219358,False,fair-baseline relative improvement -1.805 < 0.100
baseline_ST2_k2_raw,Z0,0.9912671465636668,0.6758311067384228,0.94287109375,0.71484375,none,2,low,4096,4096,1,4096,1.0,0.6845639601747561,0.75732421875,0.07276025857524393,exact_dynamics,0.6845639601747561,0.07276025857524393,self,0.07276025857524393,0.010203735477701384,1067,6.966682083992055,0.0003,0.001,0.005,31,90,15,,,,,,0.0,0.0,False,baseline/control
baseline_ST2_k3_raw_control,Z0,0.9912671465636668,0.6758311067384228,0.93896484375,0.62646484375,none_control,3,low,4096,4096,1,4096,1.0,0.6845639601747561,0.666015625,0.01854833517475607,exact_dynamics,0.6845639601747561,0.01854833517475607,self,0.01854833517475607,0.011655277976141862,1392,6.966682083992055,0.0003,0.001,0.005,43,126,21,,,,,,0.0,0.0,False,baseline/control
postselection_ST2_k2_weight1,Z0,0.9912671465636668,0.6758311067384228,0.9839862739490992,0.7655132971118102,postselection,2,low,4096,4096,1,3497,0.853759765625,0.6845639601747561,0.7815270231627109,0.09696306298795487,noiseless_ST2_k2,0.7845829417302326,0.0030559185675216316,baseline_ST2_k2_raw_vs_noiseless_ST2_k2,0.027258722980232575,0.010549873547814361,1140,6.966682083992055,0.0003,0.001,0.005,31,90,15,,,,,,0.8878920861502677,0.8878920861502677,True,ready
MPF23_raw,Z0,0.9912671465636668,0.6758311067384228,0.93583984375,0.55576171875,MPF,"2,3",low,4096,8192,2,8192,1.0,0.6845639601747561,0.59296875,0.09159521017475603,exact_dynamics,0.6845639601747561,0.09159521017475603,baseline_ST2_k3_raw_control_vs_exact,0.01854833517475607,0.022511637314042328,10380,6.966682083992055,0.0003,0.001,0.005,43,216,21,5190.0,-0.8,1.8,0.75732421875,0.666015625,-3.9381903719000806,-3.9381903719000806,False,fair-baseline relative improvement -3.938 < 0.100
baseline_ST2_k2_raw,Z0,0.9912671465636668,0.6758311067384228,0.9599609375,0.73388671875,none,2,low,8192,8192,1,8192,1.0,0.6845639601747561,0.76171875,0.07715478982524393,exact_dynamics,0.6845639601747561,0.07715478982524393,self,0.07715478982524393,0.00715843772763952,1050,8.147549207991688,0.0003,0.001,0.005,31,90,15,,,,,,0.0,0.0,False,baseline/control
baseline_ST2_k3_raw_control,Z0,0.9912671465636668,0.6758311067384228,0.950927734375,0.669921875,none_control,3,low,8192,8192,1,8192,1.0,0.6845639601747561,0.702880859375,0.01831689920024393,exact_dynamics,0.6845639601747561,0.01831689920024393,self,0.01831689920024393,0.007858912895866519,1265,8.147549207991688,0.0003,0.001,0.005,43,126,21,,,,,,0.0,0.0,False,baseline/control
