diagnostic_context,method,mitigation,reps,shots_per_circuit,physical_shots_total,circuits,accepted_shots,acceptance,obs_exact,obs_estimate,abs_err_vs_exact,standard_error,qpu_shots_needed_for_target_se,simulator_runtime_sec,time,seed,noise_label,observable,z1_exact,z0z1_exact,p1,p2,p_ro,noise_scale,z1_estimate,z0z1_estimate,mpf_shots_needed_per_circuit,mpf_coeff_low,mpf_coeff_high,obs_low_reps_raw,obs_high_reps_raw,obs_low_reps_postselected,obs_high_reps_postselected,acceptance_low_reps,acceptance_high_reps,rel_error_improvement_vs_raw_baseline,qpu_ready_candidate,qpu_readiness_reason
time_window,baseline_ST2_k2_raw,none,2,4096,4096,1,4096.0,1.0,-0.17105499903038957,-0.1572265625,0.013828436530389565,0.015430664985212013,2439,6.65760995799792,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.58154296875,-0.52783203125,,,,,,,,,,0.0,False,"diagnostic time, not official t=1.0; baseline/control"
time_window,baseline_ST2_k3_raw_control,none_control,3,4096,4096,1,4096.0,1.0,-0.17105499903038957,-0.18994140625,0.018886407219610435,0.015340553560511212,2410,6.65760995799792,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.6044921875,-0.52978515625,,,,,,,,,,-0.36576591128761393,False,"diagnostic time, not official t=1.0; baseline/control"
time_window,postselection_ST2_k2_weight1,postselection,2,4096,4096,1,3494.0,0.85302734375,-0.17105499903038957,-0.1551230681167716,0.01593193091361797,0.01671280724726267,2861,6.65760995799792,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.5987406983400114,-0.5563823697767601,,,,,,,,,,-0.15211368100838704,False,"diagnostic time, not official t=1.0; relative error improvement -0.152 < 0.100"
time_window,MPF23_raw,MPF,"2,3",4096,8192,2,8192.0,1.0,-0.17105499903038957,-0.21611328125,0.045058282219610446,0.030246736033595123,18738,6.65760995799792,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.6228515625,-0.5313476562499999,9369.0,-0.8,1.8,-0.1572265625,-0.18994140625,,,,,-2.258378640317706,False,"diagnostic time, not official t=1.0; relative error improvement -2.258 < 0.100"
time_window,MPF23_postselected,MPF_postselected,"2,3",4096,8192,2,6857.0,0.821044921875,-0.17105499903038957,-0.21577665701416526,0.0447216579837757,0.03328423294483271,22690,6.65760995799792,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.6433981638971256,-0.5723784931170396,11345.0,-0.8,1.8,,,-0.1551230681167716,-0.1888195063931014,0.85302734375,0.821044921875,-2.2340357411696368,False,"diagnostic time, not official t=1.0; relative error improvement -2.234 < 0.100; target-SE shot estimate 22690 > budget 20000"
time_window,baseline_ST2_k2_raw,none,2,8192,8192,1,8192.0,1.0,-0.17105499903038957,-0.165283203125,0.005771795905389565,0.010896583415119114,2432,8.247283125005197,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.603515625,-0.528564453125,,,,,,,,,,0.0,False,"diagnostic time, not official t=1.0; baseline/control"
time_window,baseline_ST2_k3_raw_control,none_control,3,8192,8192,1,8192.0,1.0,-0.17105499903038957,-0.166259765625,0.004795233405389565,0.010894769713990685,2431,8.247283125005197,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.59814453125,-0.511474609375,,,,,,,,,,0.16919560497420036,False,"diagnostic time, not official t=1.0; baseline/control"
time_window,postselection_ST2_k2_weight1,postselection,2,8192,8192,1,7043.0,0.8597412109375,-0.17105499903038957,-0.17023995456481614,0.0008150444655734279,0.01174180533811951,2824,8.247283125005197,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.6172085758909556,-0.5530313786738605,,,,,,,,,,0.8587884119720244,False,"diagnostic time, not official t=1.0"
time_window,MPF23_raw,MPF,"2,3",8192,16384,2,16384.0,1.0,-0.17105499903038957,-0.16704101562499998,0.004013983405389582,0.021460796871276114,18866,8.247283125005197,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.5938476562499999,-0.497802734375,9433.0,-0.8,1.8,-0.165283203125,-0.166259765625,,,,,0.3045520889535578,False,"diagnostic time, not official t=1.0"
time_window,MPF23_postselected,MPF_postselected,"2,3",8192,16384,2,13843.0,0.830078125,-0.17105499903038957,-0.16292568340697064,0.008129315623418926,0.023485098031723658,22592,8.247283125005197,0.25,2026,low,Z0,0.6127109639921351,-0.5583440350382545,0.0003,0.001,0.005,1.0,0.6127037275225298,-0.5502219558844411,11296.0,-0.8,1.8,,,-0.17023995456481614,-0.1661764705882353,0.8597412109375,0.830078125,-0.40845514232891794,False,"diagnostic time, not official t=1.0; relative error improvement -0.408 < 0.100; target-SE shot estimate 22592 > budget 20000"
time_window,baseline_ST2_k2_raw,none,2,4096,4096,1,4096.0,1.0,0.8997458345693597,0.8408203125,0.05892552206935975,0.008458036380618714,733,6.279310791986063,0.5,2026,low,Z0,0.334777045048253,0.23452287961761276,0.0003,0.001,0.005,1.0,0.375,0.2451171875,,,,,,,,,,0.0,False,"diagnostic time, not official t=1.0; baseline/control"
time_window,baseline_ST2_k3_raw_control,none_control,3,4096,4096,1,4096.0,1.0,0.8997458345693597,0.833984375,0.06576145956935975,0.008621688424719049,762,6.279310791986063,0.5,2026,low,Z0,0.334777045048253,0.23452287961761276,0.0003,0.001,0.005,1.0,0.36328125,0.2353515625,,,,,,,,,,-0.11600979100284577,False,"diagnostic time, not official t=1.0; baseline/control"
time_window,postselection_ST2_k2_weight1,postselection,2,4096,4096,1,3496.0,0.853515625,0.8997458345693597,0.8729977116704806,0.02674812289887918,0.008248760315605555,697,6.279310791986063,0.5,2026,low,Z0,0.334777045048253,0.23452287961761276,0.0003,0.001,0.005,1.0,0.38672768878718533,0.2597254004576659,,,,,,,,,,0.5460689704641966,False,"diagnostic time, not official t=1.0"
time_window,MPF23_raw,MPF,"2,3",4096,8192,2,8192.0,1.0,0.8997458345693597,0.828515625,0.07123020956935977,0.016930007070738752,5872,6.279310791986063,0.5,2026,low,Z0,0.334777045048253,0.23452287961761276,0.0003,0.001,0.005,1.0,0.35390625,0.2275390625,2936.0,-0.8,1.8,0.8408203125,0.833984375,,,,,-0.20881762380512275,False,"diagnostic time, not official t=1.0; relative error improvement -0.209 < 0.100"
time_window,MPF23_postselected,MPF_postselected,"2,3",4096,8192,2,6863.0,0.822021484375,0.8997458345693597,0.8695851986469834,0.03016063592237639,0.01660214759739927,5646,6.279310791986063,0.5,2026,low,Z0,0.334777045048253,0.23452287961761276,0.0003,0.001,0.005,1.0,0.38399474234714503,0.2535799409941286,2823.0,-0.8,1.8,,,0.8729977116704806,0.8711018711018711,0.853515625,0.822021484375,0.4881566617793379,False,"diagnostic time, not official t=1.0"
