time,method,observable,obs_exact,obs_estimate,z1_exact,z1_estimate,z0z1_exact,z0z1_estimate,abs_err_vs_exact
0.25,baseline_ST2_k2_noiseless,Z0,-0.17105499903038957,-0.1747521617347405,0.6127109639921351,0.6208397401855652,-0.5583440350382545,-0.5539124215491738,0.0036971627043509425
0.25,ST2_k3_noiseless_control,Z0,-0.17105499903038957,-0.17268983021405315,0.6127109639921351,0.6163088427674537,-0.5583440350382545,-0.5563809874465915,0.0016348311836635876
0.25,MPF23_noiseless,Z0,-0.17105499903038957,-0.17103996499750326,0.6127109639921351,0.6126841248329644,-0.5583440350382545,-0.5583558401645258,1.5034032886301896e-05
0.5,baseline_ST2_k2_noiseless,Z0,0.8997458345693597,0.8856661202308883,0.334777045048253,0.3920169130689922,0.23452287961761276,0.277683033299894,0.014079714338471438
0.5,ST2_k3_noiseless_control,Z0,0.8997458345693597,0.8937191551301062,0.334777045048253,0.35976780135559,0.23452287961761276,0.2534869564856851,0.006026679439253502
0.5,MPF23_noiseless,Z0,0.8997458345693597,0.9001615830494806,0.334777045048253,0.3339685119848682,0.23452287961761276,0.23413009503431792,0.00041574848012082555
0.75,baseline_ST2_k2_noiseless,Z0,0.8647464349484324,0.9110604444467234,0.7700804422901781,0.8172369778167217,0.6348268772386105,0.7282974222634361,0.04631400949829101
0.75,ST2_k3_noiseless_control,Z0,0.8647464349484324,0.8856422597656224,0.7700804422901781,0.7900268801436715,0.6348268772386105,0.6756691399093151,0.02089582481718999
0.75,MPF23_noiseless,Z0,0.8647464349484324,0.8653077120207415,0.7700804422901781,0.7682588020052313,0.6348268772386105,0.6335665140260183,0.0005612770723091298
1.0,baseline_ST2_k2_noiseless,Z0,0.6845639601747561,0.7845829417302326,0.9912671465636668,0.9936207920412072,0.6758311067384228,0.7782037337714536,0.1000189815554765
1.0,ST2_k3_noiseless_control,Z0,0.6845639601747561,0.7281883834189886,0.9912671465636668,0.9924511118813515,0.6758311067384228,0.7206394953003445,0.043624423244232546
1.0,MPF23_noiseless,Z0,0.6845639601747561,0.6830727367699935,0.9912671465636668,0.9915153677534668,0.6758311067384228,0.6745881045234572,0.0014912234047625983
1.25,baseline_ST2_k2_noiseless,Z0,0.9370271010898633,0.9427437431649194,0.7849436925151991,0.9118180028241987,0.7219707936050624,0.8545617459891117,0.0057166420750560665
1.25,ST2_k3_noiseless_control,Z0,0.9370271010898633,0.9405347666082817,0.7849436925151991,0.8374441574870325,0.7219707936050624,0.7779789240953222,0.0035076655184184125
1.25,MPF23_noiseless,Z0,0.9370271010898633,0.9387675853629716,0.7849436925151991,0.7779450812172994,0.7219707936050624,0.7167126665802906,0.0017404842731082448
1.5,baseline_ST2_k2_noiseless,Z0,0.9539526359368348,0.999802695225745,0.8447650468333716,0.9903392748716157,0.7987176827702065,0.9901419700973562,0.04585005928891028
1.5,ST2_k3_noiseless_control,Z0,0.9539526359368348,0.9792289789961004,0.8447650468333716,0.903475351411968,0.7987176827702065,0.8827043304080888,0.025276343059265627
1.5,MPF23_noiseless,Z0,0.9539526359368348,0.9627700060123846,0.8447650468333716,0.8339842126442499,0.7987176827702065,0.796754218656675,0.008817370075549835
2.0,baseline_ST2_k2_noiseless,Z0,0.9271155626310368,0.8685341577268243,0.9098451346141808,0.9338911796407627,0.8369606972452175,0.8024253373675788,0.058581404904212486
2.0,ST2_k3_noiseless_control,Z0,0.9271155626310368,0.9656995767136243,0.9098451346141808,0.9638616436021287,0.8369606972452175,0.9295612203157467,0.03858401408258749
2.0,MPF23_noiseless,Z0,0.9271155626310368,1.0434319119030642,0.9098451346141808,0.9878380147712214,0.8369606972452175,1.031269926674281,0.11631634927202739
